Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C15, C16, C2, C3, C4, C5",402,8,0.1u,C169842
"C11, C19, C9",402,3,1.0u,C29266
C12,CP_Elec_6.3x7.7,1,100u,C178560
C13,603,1,1.0u,C5673
C6,603,1,0.01u,C1589
"C7, C8",603,2,18p,C165734
D1,D_SOD-123F,1,SMF5.0CA,C283867
F1,1206,1,ASMD1206-050,C883127
J1,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,Screw_Terminal_01x02,C3817933
J9,USB_Micro-AB_Molex_47590-0001,1,USB_B_Micro,C136001
"L1, L2",603,2,BLM18PG471SN1D,C97853
LED1,805,1,Green,C2899888
"Q1, Q2, Q3, Q4",SOT-23-3,4,BSS138,C534601
Q5,SOT-323_SC-70,1,2N7002,C139444
"R1, R11, R2, R20, R21, R3, R4, R6",402,8,10k,C71617
"R12, R13",1206,2,0.15,C37936
"R14, R15",402,2,1k,C71623
R16,402,1,100k,C481918
R5,402,1,330,C25104
"R7, R8",402,2,4.7k,C482193
SW1,SW_SPST_PTS810,1,SW_SPST,C221896
U1,SOT-23-5,1,TLV70233_SOT23-5,C110287
U2,TSSOP-14_4.4x5mm_P0.65mm,1,AS5047D,C2693743
U3,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm_ThermalVias,1,A4954,C2688265
U4,TQFP-48_7x7mm_P0.5mm,1,ATSAMD21G18A-A,C78624
Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.768k,C907552
